Material,Alloy_Type,Density_g_cm3,Yield_Strength_MPa,Tensile_Strength_MPa,Hardness_HB,Corrosion_Resistance_0_10,Thermal_Conductivity_W_mK,Cost_Index_1_10,Melting_Point_C,Machinability,Primary_Application
Aluminum Alloy 2218-T72 (Wrought),Aluminum,2.7,255.0,331.0,95.0,9,124.23,3,661.3,8,Marine
Aluminum Alloy 2219-O (Wrought),Aluminum,2.7,76.0,172.0,49.1,7,194.68,2,641.6,9,General Purpose
Aluminum Alloy 2219-T42 (Wrought),Aluminum,2.7,186.0,359.0,102.6,9,123.33,4,644.4,7,Marine
Aluminum Alloy 2219-T31 (Wrought),Aluminum,2.7,248.0,359.0,102.6,10,119.34,3,669.7,8,Marine
Aluminum Alloy 2219-T351 (Wrought),Aluminum,2.7,248.0,359.0,102.6,9,121.61,3,630.4,9,Marine
Aluminum Alloy 2219-T37 (Wrought),Aluminum,2.7,317.0,393.0,112.3,9,107.36,3,667.1,9,Marine
Aluminum Alloy 2219-T62 (Wrought),Aluminum,2.7,290.0,414.0,118.3,5,119.04,6,635.5,7,Aircraft
Aluminum Alloy 2219-T81 (Wrought),Aluminum,2.7,352.0,455.0,130.0,5,116.03,6,661.0,7,Aircraft
Aluminum Alloy 2219-T851 (Wrought),Aluminum,2.7,352.0,455.0,130.0,5,126.5,7,640.1,7,Aircraft
Aluminum Alloy 2219-T87 (Wrought),Aluminum,2.7,393.0,476.0,136.0,5,115.47,6,662.6,8,Aircraft
Aluminum Alloy 3003-O (Wrought),Aluminum,2.7,41.0,110.0,28.0,7,178.51,2,641.9,10,General Purpose
Aluminum Alloy 3003-H12 (Wrought),Aluminum,2.7,124.0,131.0,35.0,7,163.22,1,650.4,9,General Purpose
Aluminum Alloy 3003-H14 (Wrought),Aluminum,2.7,145.0,152.0,40.0,7,165.27,2,688.7,8,General Purpose
Aluminum Alloy 3003-H16 (Wrought),Aluminum,2.7,172.0,179.0,47.0,7,181.49,2,628.0,9,General Purpose
Aluminum Alloy 3003-H18 (Wrought),Aluminum,2.7,186.0,200.0,55.0,6,184.35,2,631.7,9,General Purpose
Aluminum Alloy Alclad 3003-O (Wrought),Aluminum,2.7,41.0,110.0,31.4,7,189.42,1,661.2,9,General Purpose
Aluminum Alloy Alclad 3003-H12 (Wrought),Aluminum,2.7,124.0,131.0,37.4,7,178.32,2,663.9,9,General Purpose
Aluminum Alloy Alclad 3003-H14 (Wrought),Aluminum,2.7,145.0,152.0,43.4,7,193.3,2,651.4,9,General Purpose
Aluminum Alloy Alclad 3003-H16 (Wrought),Aluminum,2.7,172.0,179.0,51.1,7,187.86,2,664.2,8,General Purpose
Aluminum Alloy Alclad 3003-H18 (Wrought),Aluminum,2.7,186.0,200.0,57.1,7,175.2,2,661.5,9,General Purpose
Aluminum Alloy 3004-O (Wrought),Aluminum,2.7,69.0,179.0,45.0,7,182.2,3,664.5,9,General Purpose
Aluminum Alloy 3004-H32 (Wrought),Aluminum,2.7,172.0,214.0,52.0,7,191.28,2,658.2,9,General Purpose
Aluminum Alloy 3004-H34 (Wrought),Aluminum,2.7,200.0,241.0,63.0,7,183.76,2,658.0,9,General Purpose
Aluminum Alloy 3004-H36 (Wrought),Aluminum,2.7,228.0,262.0,70.0,7,164.22,3,643.8,8,General Purpose
Aluminum Alloy 3004-H38 (Wrought),Aluminum,2.7,248.0,283.0,77.0,6,172.13,2,649.0,9,General Purpose
Aluminum Alloy Alclad 3004-O (Wrought),Aluminum,2.7,69.0,179.0,51.1,7,185.85,2,670.1,8,General Purpose
Aluminum Alloy Alclad 3004-H32 (Wrought),Aluminum,2.7,172.0,214.0,61.1,7,164.28,2,631.2,9,General Purpose
Aluminum Alloy Alclad 3004-H34 (Wrought),Aluminum,2.7,200.0,241.0,68.9,7,182.42,2,648.8,8,General Purpose
Aluminum Alloy Alclad 3004-H36 (Wrought),Aluminum,2.7,228.0,262.0,74.9,7,182.92,2,672.5,9,General Purpose
Aluminum Alloy Alclad 3004-H38 (Wrought),Aluminum,2.7,248.0,283.0,80.9,7,165.93,3,658.8,8,General Purpose
Aluminum Alloy 3105-O (Wrought),Aluminum,2.7,55.0,117.0,33.4,7,184.34,2,633.0,8,General Purpose
Aluminum Alloy 3105-H12 (Wrought),Aluminum,2.7,131.0,152.0,43.4,6,179.68,2,656.4,9,General Purpose
Aluminum Alloy 3105-H14 (Wrought),Aluminum,2.7,152.0,172.0,49.1,7,195.19,2,674.6,9,General Purpose
Aluminum Alloy 3105-H16 (Wrought),Aluminum,2.7,172.0,193.0,55.1,7,186.02,2,647.8,9,General Purpose
Aluminum Alloy 3105-H18 (Wrought),Aluminum,2.7,193.0,214.0,61.1,7,174.28,2,661.7,9,General Purpose
Aluminum Alloy 3105-H25 (Wrought),Aluminum,2.7,159.0,179.0,51.1,6,181.8,1,655.0,9,General Purpose
Aluminum Alloy 4032-T6 (Wrought),Aluminum,2.7,317.0,379.0,120.0,9,114.8,2,660.3,8,Marine
Aluminum Alloy 5005-O (Wrought),Aluminum,2.7,41.0,124.0,28.0,7,181.5,2,632.2,10,General Purpose
Aluminum Alloy 5005-H12 (Wrought),Aluminum,2.7,131.0,138.0,39.4,7,181.42,1,641.8,9,General Purpose
Aluminum Alloy 5005-H14 (Wrought),Aluminum,2.7,152.0,159.0,45.4,7,178.05,2,676.5,8,General Purpose
Aluminum Alloy 5005-H16 (Wrought),Aluminum,2.7,172.0,179.0,51.1,7,173.54,2,656.8,9,General Purpose
Aluminum Alloy 5005-H18 (Wrought),Aluminum,2.7,193.0,200.0,57.1,6,195.56,2,676.2,8,General Purpose
Aluminum Alloy 5005-H32 (Wrought),Aluminum,2.7,117.0,138.0,36.0,7,177.69,2,672.4,9,General Purpose
Aluminum Alloy 5005-H34 (Wrought),Aluminum,2.7,138.0,159.0,41.0,7,176.73,3,635.1,9,General Purpose
Aluminum Alloy 5005-H36 (Wrought),Aluminum,2.7,165.0,179.0,46.0,8,176.64,2,651.1,9,General Purpose
Aluminum Alloy 5005-H38 (Wrought),Aluminum,2.7,186.0,200.0,51.0,6,192.43,3,663.5,8,General Purpose
Aluminum Alloy 5050-O (Wrought),Aluminum,2.7,55.0,145.0,36.0,7,180.45,2,657.9,9,General Purpose
Aluminum Alloy 5050-H32 (Wrought),Aluminum,2.7,145.0,172.0,46.0,7,176.31,2,615.6,9,General Purpose
Aluminum Alloy 5050-H34 (Wrought),Aluminum,2.7,165.0,193.0,53.0,7,183.52,2,692.8,8,General Purpose
Aluminum Alloy 5050-H36 (Wrought),Aluminum,2.7,179.0,207.0,58.0,7,191.89,2,627.7,9,General Purpose
Aluminum Alloy 5050-H38 (Wrought),Aluminum,2.7,200.0,221.0,63.0,7,171.11,1,644.2,9,General Purpose
Aluminum Alloy 5052-O (Wrought),Aluminum,2.7,90.0,193.0,47.0,7,162.68,2,667.1,10,General Purpose
Aluminum Alloy 5052-H32 (Wrought),Aluminum,2.7,193.0,228.0,60.0,8,193.39,1,646.0,9,General Purpose
Aluminum Alloy 5052-H34 (Wrought),Aluminum,2.7,214.0,262.0,68.0,7,146.07,4,665.4,8,General Purpose
Aluminum Alloy 5052-H36 (Wrought),Aluminum,2.7,241.0,276.0,73.0,7,165.66,3,660.7,8,General Purpose
Aluminum Alloy 5052-H38 (Wrought),Aluminum,2.7,255.0,290.0,77.0,7,137.63,2,664.9,8,General Purpose
Aluminum Alloy 5056-O (Wrought),Aluminum,2.7,152.0,290.0,65.0,7,166.46,3,641.5,8,General Purpose
Aluminum Alloy 5056-H18 (Wrought),Aluminum,2.7,407.0,434.0,105.0,5,128.26,6,666.8,7,Aircraft
Aluminum Alloy 5056-H38 (Wrought),Aluminum,2.7,345.0,414.0,100.0,5,120.16,6,614.6,7,Aircraft
Aluminum Alloy 5083-O (Wrought),Aluminum,2.7,145.0,290.0,82.9,6,174.84,3,656.4,8,General Purpose
Aluminum Alloy 5083-H116 (Wrought),Aluminum,2.7,228.0,317.0,90.6,9,125.01,4,663.1,8,Marine
Aluminum Alloy 5083-H321 (Wrought),Aluminum,2.7,228.0,317.0,90.6,9,124.29,3,645.1,8,Marine
Aluminum Alloy 5086-O (Wrought),Aluminum,2.7,117.0,262.0,74.9,6,175.83,3,669.6,8,General Purpose
Aluminum Alloy 5086-H32 (Wrought),Aluminum,2.7,207.0,290.0,82.9,7,155.34,3,659.0,8,General Purpose
Aluminum Alloy 5086-H34 (Wrought),Aluminum,2.7,255.0,324.0,92.6,9,131.48,3,680.5,8,Marine
Aluminum Alloy 5086-H112 (Wrought),Aluminum,2.7,131.0,269.0,76.9,7,173.84,3,684.9,8,General Purpose
Aluminum Alloy 5086-H116 (Wrought),Aluminum,2.7,207.0,290.0,82.9,7,169.02,3,648.9,8,General Purpose
Aluminum Alloy 5154-O (Wrought),Aluminum,2.7,117.0,241.0,58.0,7,181.26,2,661.2,8,General Purpose
Aluminum Alloy 5154-H32 (Wrought),Aluminum,2.7,207.0,269.0,67.0,7,171.6,3,672.4,9,General Purpose
Aluminum Alloy 5154-H34 (Wrought),Aluminum,2.7,228.0,290.0,73.0,7,152.41,3,653.0,8,General Purpose
Aluminum Alloy 5154-H36 (Wrought),Aluminum,2.7,248.0,310.0,78.0,8,183.02,2,683.2,8,General Purpose
Aluminum Alloy 5154-H38 (Wrought),Aluminum,2.7,269.0,331.0,80.0,9,123.92,3,655.9,8,Marine
Aluminum Alloy 5154-H112 (Wrought),Aluminum,2.7,117.0,241.0,63.0,7,177.44,2,648.9,9,General Purpose
Aluminum Alloy 5252-H25 (Wrought),Aluminum,2.7,172.0,234.0,68.0,7,177.01,2,626.8,9,General Purpose
Aluminum Alloy 5252-H28 (Wrought),Aluminum,2.7,241.0,283.0,75.0,7,180.73,3,661.3,8,General Purpose
Aluminum Alloy 5252-H38 (Wrought),Aluminum,2.7,241.0,283.0,75.0,7,160.11,4,666.9,8,General Purpose
Aluminum Alloy 5254-O (Wrought),Aluminum,2.7,117.0,241.0,58.0,7,179.48,2,660.3,9,General Purpose
Aluminum Alloy 5254-H32 (Wrought),Aluminum,2.7,207.0,269.0,67.0,7,158.73,2,641.6,8,General Purpose
Aluminum Alloy 5254-H34 (Wrought),Aluminum,2.7,228.0,290.0,73.0,7,157.41,2,634.7,9,General Purpose
Aluminum Alloy 5254-H36 (Wrought),Aluminum,2.7,248.0,310.0,78.0,7,170.25,3,662.8,8,General Purpose
Aluminum Alloy 5254-H38 (Wrought),Aluminum,2.7,269.0,331.0,80.0,9,113.08,3,663.1,9,Marine
Aluminum Alloy 5254-H112 (Wrought),Aluminum,2.7,117.0,241.0,63.0,8,193.15,2,660.1,9,General Purpose
Aluminum Alloy 5454-O (Wrought),Aluminum,2.7,117.0,248.0,62.0,7,165.6,3,659.8,8,General Purpose
Aluminum Alloy 5454-H32 (Wrought),Aluminum,2.7,207.0,276.0,73.0,7,173.5,3,663.4,8,General Purpose
Aluminum Alloy 5454-H34 (Wrought),Aluminum,2.7,241.0,303.0,81.0,7,171.26,3,633.7,8,General Purpose
Aluminum Alloy 5454-H111 (Wrought),Aluminum,2.7,179.0,262.0,70.0,7,166.26,2,664.7,9,General Purpose
Aluminum Alloy 5454-H112 (Wrought),Aluminum,2.7,124.0,248.0,62.0,8,157.63,3,653.8,9,General Purpose
Aluminum Alloy 5456-O (Wrought),Aluminum,2.7,159.0,310.0,88.6,8,167.61,3,671.5,8,General Purpose
Aluminum Alloy 5456-H112 (Wrought),Aluminum,2.7,165.0,310.0,88.6,6,162.44,2,661.5,8,General Purpose
Aluminum Alloy 5456-H116 (Wrought),Aluminum,2.7,255.0,352.0,90.0,9,117.03,3,668.6,8,Marine
Aluminum Alloy 5456-H321 (Wrought),Aluminum,2.7,255.0,352.0,90.0,10,112.54,3,637.7,7,Marine
Aluminum Alloy 5457-O (Wrought),Aluminum,2.7,48.0,131.0,32.0,8,186.68,1,631.2,8,General Purpose
Aluminum Alloy 5457-H25 (Wrought),Aluminum,2.7,159.0,179.0,48.0,7,175.38,2,664.3,9,General Purpose
Aluminum Alloy 5457-H28 (Wrought),Aluminum,2.7,186.0,207.0,55.0,7,174.42,2,664.3,9,General Purpose
Aluminum Alloy 5457-H38 (Wrought),Aluminum,2.7,186.0,207.0,55.0,7,163.99,2,654.5,9,General Purpose
Aluminum Alloy 5652-O (Wrought),Aluminum,2.7,90.0,193.0,47.0,7,175.7,2,641.5,9,General Purpose
Aluminum Alloy 5652-H32 (Wrought),Aluminum,2.7,193.0,228.0,60.0,6,179.86,1,654.7,9,General Purpose
Aluminum Alloy 5652-H34 (Wrought),Aluminum,2.7,214.0,262.0,68.0,7,160.14,3,690.0,8,General Purpose
Aluminum Alloy 5652-H36 (Wrought),Aluminum,2.7,241.0,276.0,73.0,7,187.12,3,675.6,8,General Purpose
Aluminum Alloy 5652-H38 (Wrought),Aluminum,2.7,255.0,290.0,77.0,6,164.9,4,668.7,8,General Purpose
Aluminum Alloy 5657-H25 (Wrought),Aluminum,2.7,138.0,159.0,40.0,6,172.08,2,658.5,9,General Purpose
Aluminum Alloy 5657-H28 (Wrought),Aluminum,2.7,165.0,193.0,50.0,6,175.89,2,660.3,10,General Purpose
Aluminum Alloy 5657-H38 (Wrought),Aluminum,2.7,165.0,193.0,50.0,7,189.19,2,653.6,9,General Purpose
Aluminum Alloy 6061-O (Wrought),Aluminum,2.7,55.0,124.0,30.0,7,179.99,2,657.7,10,General Purpose
Aluminum Alloy 6061-T4 (Wrought),Aluminum,2.7,145.0,241.0,65.0,7,172.51,1,664.8,9,General Purpose
Aluminum Alloy 6061-T451 (Wrought),Aluminum,2.7,145.0,241.0,65.0,7,185.71,2,644.7,9,General Purpose
Aluminum Alloy 6061-T6 (Wrought),Aluminum,2.7,276.0,310.0,95.0,7,163.68,3,678.4,8,General Purpose
Aluminum Alloy 6061-T651 (Wrought),Aluminum,2.7,276.0,310.0,95.0,7,156.67,3,685.3,8,General Purpose
Aluminum Alloy Alclad 6061-O (Wrought),Aluminum,2.7,48.0,117.0,33.4,7,193.45,2,666.5,9,General Purpose
Aluminum Alloy Alclad 6061-T4 (Wrought),Aluminum,2.7,131.0,228.0,65.1,7,191.51,1,639.7,9,General Purpose
Aluminum Alloy Alclad 6061-T451 (Wrought),Aluminum,2.7,131.0,228.0,65.1,7,185.44,2,670.8,9,General Purpose
Aluminum Alloy Alclad 6061-T6 (Wrought),Aluminum,2.7,255.0,290.0,82.9,7,161.08,3,669.1,8,General Purpose
Aluminum Alloy Alclad 6061-T651 (Wrought),Aluminum,2.7,255.0,290.0,82.9,8,167.63,3,666.1,8,General Purpose
Aluminum Alloy 6063-O (Wrought),Aluminum,2.7,48.0,90.0,25.0,6,149.17,2,636.0,10,General Purpose
Aluminum Alloy 6063-T1 (Wrought),Aluminum,2.7,90.0,152.0,42.0,7,175.06,3,677.3,9,General Purpose
Aluminum Alloy 6063-T4 (Wrought),Aluminum,2.7,90.0,172.0,49.1,7,184.19,2,685.3,8,General Purpose
Aluminum Alloy 6063-T5 (Wrought),Aluminum,2.7,145.0,186.0,60.0,7,172.96,2,637.1,9,General Purpose
Aluminum Alloy 6063-T6 (Wrought),Aluminum,2.7,214.0,241.0,73.0,7,171.02,2,672.1,9,General Purpose
Aluminum Alloy 6063-T83 (Wrought),Aluminum,2.7,241.0,255.0,82.0,7,156.11,4,677.2,8,General Purpose
Aluminum Alloy 6063-T831 (Wrought),Aluminum,2.7,186.0,207.0,70.0,7,186.19,2,613.7,10,General Purpose
Aluminum Alloy 6063-T832 (Wrought),Aluminum,2.7,269.0,290.0,95.0,7,169.6,3,646.5,8,General Purpose
Aluminum Alloy 6066-O (Wrought),Aluminum,2.7,83.0,152.0,43.0,7,186.69,2,659.8,9,General Purpose
Aluminum Alloy 6066-T4 (Wrought),Aluminum,2.7,207.0,359.0,90.0,10,120.59,3,671.8,8,Marine
Aluminum Alloy 6066-T451 (Wrought),Aluminum,2.7,207.0,359.0,90.0,9,117.05,3,657.1,8,Marine
Aluminum Alloy 6066-T6 (Wrought),Aluminum,2.7,359.0,393.0,120.0,9,118.6,4,680.4,8,Marine
Aluminum Alloy 6066-T651 (Wrought),Aluminum,2.7,359.0,393.0,120.0,9,127.98,3,649.4,8,Marine
Aluminum Alloy 6070-T6 (Wrought),Aluminum,2.7,352.0,379.0,108.3,9,124.72,3,640.0,8,Marine
Aluminum Alloy 6101-H111 (Wrought),Aluminum,2.7,76.0,97.0,27.7,7,175.13,2,653.4,8,General Purpose
Aluminum Alloy 6101-T6 (Wrought),Aluminum,2.7,193.0,221.0,71.0,7,166.76,3,653.4,9,General Purpose
Aluminum Alloy 6262-T9 (Wrought),Aluminum,2.7,379.0,400.0,120.0,5,117.96,5,639.5,8,Aircraft
Aluminum Alloy 6351-T4 (Wrought),Aluminum,2.7,152.0,248.0,70.9,7,170.98,2,644.5,8,General Purpose
Aluminum Alloy 6351-T6 (Wrought),Aluminum,2.7,283.0,310.0,95.0,7,171.06,3,649.9,8,General Purpose
Aluminum Alloy 6463-T1 (Wrought),Aluminum,2.7,90.0,152.0,42.0,7,179.94,2,630.6,9,General Purpose
Aluminum Alloy 6463-T5 (Wrought),Aluminum,2.7,145.0,186.0,60.0,7,170.83,2,643.4,9,General Purpose
Aluminum Alloy 6463-T6 (Wrought),Aluminum,2.7,214.0,241.0,74.0,7,182.54,2,648.0,9,General Purpose
Aluminum Alloy 7049-T73 (Wrought),Aluminum,2.7,448.0,517.0,135.0,5,121.97,5,625.8,8,Aircraft Structures
Aluminum Alloy 7049-T7352 (Wrought),Aluminum,2.7,434.0,517.0,135.0,5,109.04,6,617.7,7,Aircraft Structures
Aluminum Alloy 7050-T73510 (Wrought),Aluminum,2.7,434.0,496.0,141.7,5,123.01,6,633.8,7,Aircraft Structures
Aluminum Alloy 7050-T7451f (Wrought),Aluminum,2.7,469.0,524.0,149.7,5,119.1,6,625.9,7,Aircraft Structures
Aluminum Alloy 7050-T7651 (Wrought),Aluminum,2.7,490.0,552.0,157.7,7,135.52,6,470.0,6,Aerospace
Aluminum Alloy 7075-O (Wrought),Aluminum,2.7,103.0,228.0,60.0,7,191.52,2,653.0,9,General Purpose
Aluminum Alloy 7075-T6 (Wrought),Aluminum,2.7,503.0,572.0,150.0,6,129.15,7,484.6,6,Aerospace
Aluminum Alloy 7075-T651 (Wrought),Aluminum,2.7,503.0,572.0,150.0,6,123.72,7,483.8,7,Aerospace
Aluminum Alloy Alclad 7075-O (Wrought),Aluminum,2.7,97.0,221.0,63.1,7,157.9,2,648.8,9,General Purpose
Aluminum Alloy Alclad 7075-T6 (Wrought),Aluminum,2.7,462.0,524.0,149.7,5,120.21,6,648.9,7,Aircraft Structures
Aluminum Alloy Alclad 7075-T651 (Wrought),Aluminum,2.7,462.0,524.0,149.7,5,121.07,6,632.1,7,Aircraft Structures
Aluminum Alloy 7178-O (Wrought),Aluminum,2.7,103.0,228.0,65.1,8,178.01,1,682.2,9,General Purpose
Aluminum Alloy 7178-T6 (Wrought),Aluminum,2.7,538.0,607.0,173.4,6,112.35,7,478.9,6,Aerospace Structures
Aluminum Alloy 7178-T651 (Wrought),Aluminum,2.7,538.0,607.0,173.4,6,121.4,7,459.9,6,Aerospace Structures
Aluminum Alloy 7178-T76 (Wrought),Aluminum,2.7,503.0,572.0,163.4,7,121.9,8,506.3,7,Aerospace
Aluminum Alloy 7178-T7651 (Wrought),Aluminum,2.7,503.0,572.0,163.4,6,126.87,7,483.0,6,Aerospace
Aluminum Alloy Alclad 7178-O (Wrought),Aluminum,2.7,97.0,221.0,63.1,7,180.97,1,651.8,10,General Purpose
Aluminum Alloy Alclad 7178-T6 (Wrought),Aluminum,2.7,490.0,558.0,159.4,7,130.3,7,471.5,6,Aerospace
Aluminum Alloy Alclad 7178-T651 (Wrought),Aluminum,2.7,490.0,558.0,159.4,6,115.28,7,478.9,6,Aerospace
Aluminum Alloy 8176-H24 (Wrought),Aluminum,2.7,97.0,117.0,33.4,7,176.65,2,674.0,9,General Purpose
Magnesium Alloy AM100A-T61 (sand casting),Magnesium,1.75,152.0,276.0,86.2,4,76.9,4,643.4,8,Automotive
Magnesium Alloy AZ63A-T6 (sand casting),Magnesium,1.75,97.0,276.0,86.2,4,71.75,4,619.9,8,Automotive
Magnesium Alloy AZ81A-T4 (sand casting),Magnesium,1.75,83.0,276.0,86.2,4,80.05,4,624.6,8,Automotive
Magnesium Alloy AZ91C-T6 (sand casting),Magnesium,1.75,145.0,276.0,86.2,4,79.63,4,616.0,8,Automotive
Magnesium Alloy AZ91E-T6 (sand casting),Magnesium,1.75,145.0,276.0,86.2,5,75.53,4,629.6,9,Automotive
Magnesium Alloy AZ92A-T6 (sand casting),Magnesium,1.75,152.0,276.0,86.2,5,75.98,4,644.8,9,Automotive
Magnesium Alloy EZ33A-T5 (sand casting),Magnesium,1.75,110.0,159.0,49.7,4,73.92,4,586.0,9,Casting
Magnesium Alloy HK31A-T6 (sand casting),Magnesium,1.75,103.0,221.0,69.1,4,77.87,4,592.6,7,Casting
Magnesium Alloy HZ32A-T6 (sand casting),Magnesium,1.75,90.0,186.0,58.1,4,68.06,4,605.2,8,Casting
Magnesium Alloy K1A-F (sand casting),Magnesium,1.75,55.0,179.0,55.9,4,73.12,4,578.3,8,Casting
Magnesium Alloy QE22A-T6 (sand casting),Magnesium,1.75,193.0,262.0,81.9,5,72.17,4,600.7,7,Castings
Magnesium Alloy QH21A-T6 (sand casting),Magnesium,1.75,207.0,276.0,86.2,4,67.5,4,671.2,8,Automotive
Magnesium Alloy ZE41A-T5 (sand casting),Magnesium,1.75,138.0,207.0,64.7,5,65.82,5,582.2,8,Casting
Magnesium Alloy ZE63A-T6 (sand casting),Magnesium,1.75,193.0,303.0,94.7,4,69.27,5,668.2,9,Automotive
Magnesium Alloy ZH62A-T5 (sand casting),Magnesium,1.75,152.0,241.0,75.3,3,77.44,4,611.0,9,Casting
Magnesium Alloy ZK51A-T5 (sand casting),Magnesium,1.75,138.0,207.0,64.7,4,74.23,4,611.8,9,Casting
Magnesium Alloy ZK61A-T6 (sand casting),Magnesium,1.75,193.0,310.0,96.9,4,78.35,4,603.4,8,Automotive
Magnesium Alloy WE54A-F (sand casting),Magnesium,1.75,200.0,276.0,86.2,4,80.84,5,640.4,8,Automotive
Magnesium Alloy AZ91A-F (pressure die casting),Magnesium,1.75,159.0,234.0,73.1,5,71.25,5,621.2,8,Casting
Magnesium Alloy AZ91B-FAZ91B-F (pressure die casting),Magnesium,1.75,159.0,234.0,73.1,4,67.36,4,571.0,8,Casting
Magnesium Alloy AZ91D-F (pressure die casting),Magnesium,1.75,159.0,234.0,73.1,5,66.28,3,593.7,8,Casting
Magnesium Alloy AM60A-F (pressure die casting),Magnesium,1.75,131.0,221.0,69.1,3,75.15,4,598.2,7,Casting
Magnesium Alloy AM60B-F (pressure die casting),Magnesium,1.75,131.0,221.0,69.1,5,78.92,4,593.0,8,Casting
Magnesium Alloy AS41A-F (pressure die casting),Magnesium,1.75,138.0,214.0,66.9,4,69.98,4,585.1,8,Casting
Magnesium Alloy AZ10A-F (As extruded),Magnesium,1.75,145.0,241.0,75.3,4,69.41,4,615.1,9,Casting
Magnesium Alloy AZ31B-F (As extruded),Magnesium,1.75,200.0,262.0,81.9,5,69.92,4,601.7,7,Castings
Magnesium Alloy AZ31C-F (As extruded),Magnesium,1.75,200.0,262.0,81.9,6,67.89,6,630.2,6,Castings
Magnesium Alloy AZ61A-F (As extruded),Magnesium,1.75,228.0,310.0,96.9,4,74.68,5,656.1,8,Automotive
Magnesium Alloy AZ80A-T5 (As extruded),Magnesium,1.75,276.0,379.0,118.4,4,76.33,4,654.8,9,Automotive
Magnesium Alloy HM31A-F (As extruded),Magnesium,1.75,228.0,290.0,90.6,4,71.04,4,619.5,7,Automotive
Magnesium Alloy M1A-F (As extruded),Magnesium,1.75,179.0,255.0,79.7,5,71.02,5,608.4,7,Castings
Magnesium Alloy ZK40A-T5 (As extruded),Magnesium,1.75,255.0,276.0,86.2,4,79.15,5,629.6,8,Automotive
Magnesium Alloy ZK60A-F (As extruded),Magnesium,1.75,283.0,352.0,110.0,5,78.64,4,635.6,8,Automotive
Magnesium Alloy AZ31B-H24,Magnesium,1.75,221.0,290.0,90.6,4,81.4,4,636.7,7,Automotive
Magnesium Alloy AZ31C-H24,Magnesium,1.75,221.0,290.0,90.6,4,69.98,3,620.3,8,Automotive
Magnesium Alloy HK31A-H24,Magnesium,1.75,207.0,262.0,81.9,5,75.85,5,599.4,7,Castings
Magnesium Alloy HM21A-T8,Magnesium,1.75,172.0,234.0,73.1,5,72.05,4,580.6,8,Casting
EN 11SMn30,Carbon Steel,7.86,230.0,380.0,111.8,3,53.41,2,1514.1,7,General Purpose
EN 10S2O,Carbon Steel,7.86,225.0,360.0,105.9,3,43.91,1,1522.1,8,General Purpose
EN 35S20,Carbon Steel,7.86,380.0,600.0,176.5,3,46.76,1,1513.2,7,General Purpose
EN FeP01,Carbon Steel,7.86,202.5,270.0,79.4,3,51.37,2,1529.4,7,General Purpose
EN FeP03,Carbon Steel,7.86,202.5,270.0,79.4,3,52.08,2,1534.1,8,General Purpose
EN FeP04,Carbon Steel,7.86,202.5,270.0,79.4,2,51.8,3,1513.0,7,General Purpose
EN SPT360,Carbon Steel,7.86,225.0,360.0,105.9,3,47.31,1,1540.1,7,General Purpose
EN P235GH,Carbon Steel,7.86,225.0,360.0,105.9,3,49.46,2,1503.2,7,General Purpose
EN S235JRG1,Carbon Steel,7.86,225.0,340.0,100.0,3,50.67,2,1517.4,8,General Purpose
EN S235JRH,Carbon Steel,7.86,225.0,340.0,100.0,3,50.9,2,1519.3,6,General Purpose
EN S235JRG2,Carbon Steel,7.86,225.0,340.0,100.0,3,53.19,2,1520.4,7,General Purpose
EN S235JO,Carbon Steel,7.86,225.0,340.0,100.0,3,43.84,3,1507.9,7,General Purpose
EN P265GH,Carbon Steel,7.86,225.0,410.0,120.6,3,51.22,2,1505.6,8,General Purpose
EN S275JR,Carbon Steel,7.86,265.0,410.0,120.6,3,48.92,2,1517.8,8,General Purpose
EN S275J2G3,Carbon Steel,7.86,265.0,410.0,120.6,3,45.85,1,1503.4,7,General Purpose
EN S275J2HG3,Carbon Steel,7.86,265.0,410.0,120.6,3,51.78,2,1519.2,7,General Purpose
EN S355J2G3,Carbon Steel,7.86,345.0,490.0,144.1,3,50.47,2,1505.4,7,General Purpose
EN S355J2H,Carbon Steel,7.86,345.0,490.0,144.1,3,54.05,2,1497.9,7,General Purpose
EN S355JO,Carbon Steel,7.86,345.0,490.0,144.1,3,50.28,2,1494.8,7,General Purpose
EN S355JOH,Carbon Steel,7.86,345.0,490.0,144.1,3,52.64,2,1521.6,7,General Purpose
EN SPT410,Stainless Steel,7.86,255.0,410.0,120.6,7,23.5,4,1533.5,7,Valve Parts
EN SPT510,Carbon Steel,7.86,345.0,510.0,150.0,4,51.44,2,1502.7,7,General Purpose
EN E295,Carbon Steel,7.86,285.0,470.0,138.2,3,45.5,1,1515.8,7,General Purpose
EN E355,Carbon Steel,7.86,325.0,570.0,167.6,2,49.56,2,1539.5,7,General Purpose
EN E360,Carbon Steel,7.86,355.0,690.0,202.9,3,48.22,2,1505.1,7,General Purpose
EN C10E,Carbon Steel,7.86,300.0,420.0,123.5,3,50.22,3,1511.5,7,General Purpose
EN C15E,Carbon Steel,7.86,340.0,440.0,129.4,3,49.48,2,1541.5,6,General Purpose
EN C22,Carbon Steel,7.86,290.0,470.0,138.2,3,49.38,2,1518.5,7,General Purpose
EN C25,Carbon Steel,7.86,320.0,500.0,147.1,3,54.35,1,1512.5,7,General Purpose
EN C30,Carbon Steel,7.86,350.0,550.0,161.8,3,52.88,2,1498.9,8,General Purpose
